Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY NEXT 50,10/03/2010,15.41,3.09,0.96,10552.2,684.76
NIFTY NEXT 50,09/03/2010,15.48,3.11,0.95,10599.1,684.7
NIFTY NEXT 50,08/03/2010,15.63,3.14,0.94,10703.25,684.79
NIFTY NEXT 50,05/03/2010,15.57,3.12,0.95,10665.2,684.98
NIFTY NEXT 50,04/03/2010,15.49,3.11,0.95,10606.45,684.73
NIFTY NEXT 50,03/03/2010,15.33,3.08,0.96,10500.9,684.99
NIFTY NEXT 50,02/03/2010,15.05,3.02,0.98,10305.55,684.75
NIFTY NEXT 50,26/02/2010,14.75,2.96,1,10099.95,684.74
NIFTY NEXT 50,25/02/2010,14.56,2.91,1.02,9918.35,681.21
NIFTY NEXT 50,24/02/2010,14.59,2.91,1.02,9936.6,681.06
NIFTY NEXT 50,23/02/2010,14.58,2.91,1.02,9928.25,680.95
NIFTY NEXT 50,22/02/2010,14.61,2.91,1.02,9948.5,680.94
NIFTY NEXT 50,19/02/2010,14.71,2.93,1.01,10014.75,680.81
NIFTY NEXT 50,18/02/2010,14.87,2.97,1,10129.5,681.2
NIFTY NEXT 50,17/02/2010,14.99,2.99,0.99,10209.65,681.1
NIFTY NEXT 50,16/02/2010,14.84,2.96,1,10103.5,680.83
NIFTY NEXT 50,15/02/2010,14.72,2.94,1.01,10025.95,681.11
NIFTY NEXT 50,11/02/2010,14.77,2.95,1,10061.8,681.23
NIFTY NEXT 50,10/02/2010,14.67,2.93,1.01,9989.25,680.93
NIFTY NEXT 50,09/02/2010,14.7,2.93,1.01,10010.9,681.01
NIFTY NEXT 50,08/02/2010,14.64,2.92,1.01,9972.2,681.16
NIFTY NEXT 50,06/02/2010,14.63,2.92,1.01,9961.45,680.89
NIFTY NEXT 50,05/02/2010,14.43,2.88,1.03,9828.25,681.1
NIFTY NEXT 50,04/02/2010,14.82,2.94,1,10059.35,678.77
NIFTY NEXT 50,03/02/2010,15.11,3,0.99,10253.1,678.56
NIFTY NEXT 50,02/02/2010,14.8,2.94,1.01,10042.05,678.52
NIFTY NEXT 50,01/02/2010,14.96,2.97,1,10151.65,678.59
NIFTY NEXT 50,29/01/2010,14.71,2.92,1.01,9985.7,678.84
NIFTY NEXT 50,28/01/2010,14.71,2.9,1.02,9905.65,673.4
NIFTY NEXT 50,27/01/2010,14.55,2.87,1.03,9801.65,673.65
NIFTY NEXT 50,25/01/2010,15.1,2.97,0.99,10167.85,673.37
