Index Name,Date,PE,PB,Div Yield,Close,Earnings
NIFTY 50,07/09/2016,24.45,3.4,1.2,8917.95,364.74
NIFTY 50,06/09/2016,24.52,3.42,1.2,8943,364.72
NIFTY 50,02/09/2016,24.15,3.36,1.22,8809.65,364.79
NIFTY 50,01/09/2016,24.06,3.35,1.22,8774.65,364.7
NIFTY 50,31/08/2016,24.09,3.36,1.22,8786.2,364.72
NIFTY 50,30/08/2016,23.97,3.34,1.22,8744.35,364.8
NIFTY 50,29/08/2016,23.6,3.29,1.24,8607.45,364.72
NIFTY 50,26/08/2016,23.5,3.27,1.25,8572.55,364.79
NIFTY 50,25/08/2016,23.62,3.29,1.26,8592.2,363.77
NIFTY 50,24/08/2016,23.78,3.31,1.25,8650.3,363.76
NIFTY 50,23/08/2016,23.73,3.3,1.25,8632.6,363.78
NIFTY 50,22/08/2016,23.59,3.3,1.25,8629.15,365.8
NIFTY 50,19/08/2016,23.7,3.31,1.25,8666.9,365.69
NIFTY 50,18/08/2016,23.71,3.36,1.24,8673.25,365.81
NIFTY 50,17/08/2016,23.58,3.34,1.25,8624.05,365.74
NIFTY 50,16/08/2016,23.63,3.35,1.25,8642.55,365.74
NIFTY 50,12/08/2016,23.71,3.36,1.24,8672.15,365.76
NIFTY 50,11/08/2016,23.49,3.34,1.26,8592.15,365.78
NIFTY 50,10/08/2016,23.44,3.36,1.28,8575.3,365.84
NIFTY 50,09/08/2016,23.73,3.4,1.26,8678.25,365.71
NIFTY 50,08/08/2016,23.82,3.41,1.26,8711.35,365.72
NIFTY 50,05/08/2016,23.74,3.4,1.26,8683.15,365.76
NIFTY 50,04/08/2016,23.38,3.35,1.28,8551.1,365.74
NIFTY 50,03/08/2016,23.36,3.35,1.28,8544.85,365.79
NIFTY 50,02/08/2016,23.58,3.38,1.27,8622.9,365.69
NIFTY 50,01/08/2016,23.61,3.38,1.27,8636.55,365.8
NIFTY 50,29/07/2016,23.62,3.38,1.27,8638.5,365.73
NIFTY 50,28/07/2016,23.69,3.42,1.26,8666.3,365.82
