"Date","Price","Open","High","Low","Change %"
"10/30/2001","8.837","8.837","8.837","8.837","-0.37%"
"10/29/2001","8.870","8.870","8.870","8.870","-0.15%"
"10/27/2001","8.883","8.883","8.883","8.883","-0.24%"
"10/25/2001","8.904","8.904","8.904","8.904","0.03%"
"10/24/2001","8.901","8.901","8.901","8.901","0.16%"
"10/23/2001","8.887","8.887","8.887","8.887","-0.77%"
"10/22/2001","8.956","8.956","8.956","8.956","-1.77%"
"10/20/2001","9.117","9.117","9.117","9.117","-0.02%"
"10/19/2001","9.119","9.119","9.119","9.119","-0.04%"
"10/18/2001","9.123","9.123","9.123","9.123","0.14%"
"10/17/2001","9.110","9.110","9.110","9.110","-0.15%"
"10/16/2001","9.124","9.124","9.124","9.124","-0.30%"
"10/15/2001","9.151","9.151","9.151","9.151","0.25%"
"10/13/2001","9.128","9.128","9.128","9.128","-0.12%"
"10/12/2001","9.139","9.139","9.139","9.139","0.33%"
"10/11/2001","9.109","9.109","9.109","9.109","-0.11%"
"10/10/2001","9.119","9.119","9.119","9.119","0.08%"
"10/09/2001","9.112","9.112","9.112","9.112","-0.68%"
"10/08/2001","9.174","9.174","9.174","9.174","0.63%"
"10/06/2001","9.117","9.117","9.117","9.117","0.04%"
"10/05/2001","9.113","9.113","9.113","9.113","0.34%"
"10/04/2001","9.082","9.082","9.082","9.082","-0.35%"
"10/03/2001","9.114","9.114","9.114","9.114","-0.98%"
"10/01/2001","9.204","9.204","9.204","9.204","0.90%"
"09/29/2001","9.122","9.122","9.122","9.122","0.07%"
"09/28/2001","9.116","9.116","9.116","9.116","-1.13%"
"09/27/2001","9.220","9.220","9.220","9.220","-0.88%"
"09/26/2001","9.302","9.302","9.302","9.302","-0.15%"
"09/25/2001","9.316","9.316","9.316","9.316","-0.27%"
"09/24/2001","9.341","9.341","9.341","9.341","-1.34%"
"09/22/2001","9.468","9.468","9.468","9.468","-2.53%"
"09/21/2001","9.714","9.714","9.714","9.714","2.05%"
"09/20/2001","9.519","9.519","9.519","9.519","1.51%"
"09/19/2001","9.377","9.377","9.377","9.377","-0.69%"
"09/18/2001","9.442","9.442","9.442","9.442","-1.93%"
